symbol,current_price,return_12m,return_1m,momentum_score,ma_200,avg_volume_50,trend_ok,name,theme,passes_filters,rank
MU,405.3500061035156,3.566854867719888,0.08600135593708136,3.480853511782807,221.23820583343505,35171566.42,True,Micron Technology,semiconductor,True,1
LRCX,209.49000549316406,1.876566785067983,-0.07444068062616505,1.951007465694148,147.7666520690918,11872796.14,True,Lam Research,semiconductor-equipment,True,2
VRT,265.3800048828125,2.1972836237958675,0.3294259662065435,1.867857657589324,162.85587497711182,6391417.8,True,Vertiv,ai-infrastructure,True,3
NEM,114.4800033569336,1.670845112188815,-0.05610395364964271,1.7269490658384576,85.9991890335083,9792017.78,True,Newmont,gold,True,4
INTC,45.25,1.2876642279669177,-0.039889688637989584,1.3275539166049073,33.43785002708435,109931959.08,True,Intel,semiconductor,True,5
AMAT,337.2699890136719,1.315035885511994,0.026196859938706796,1.2888390255732871,234.43662620544433,7798874.72,True,Applied Materials,semiconductor-equipment,True,6
APH,131.47000122070312,1.1492835985757286,-0.08790063981265162,1.2371842383883802,123.44859283447266,10334933.8,True,Amphenol,ai-infrastructure,True,7
HOOD,76.12000274658203,1.093509391331279,-0.11074761561362745,1.2042570069449066,107.62484968185424,29599201.72,False,Robinhood,fintech-growth,True,8
KLAC,1409.5699462890625,1.1382332054711322,-0.013585330204515023,1.1518185356756472,1122.0291192626953,1127123.18,True,KLA,semiconductor-equipment,True,9
CAT,700.6900024414062,1.0906238925531127,-0.05614450065321108,1.1467683932063237,521.8351867675781,2914050.36,True,Caterpillar,industrial,True,10
AMD,197.74000549316406,1.0436130749021864,-0.07412090316138498,1.1177339780635713,190.42384979248047,38337517.96,True,Advanced Micro Devices,semiconductor,True,11
ASML,1351.5799560546875,0.9753584706584022,-0.043887352525285195,1.0192458231836874,1005.7304431152344,1854159.5,True,ASML,semiconductor-equipment,True,12
GOOGL,303.54998779296875,0.8568798481449731,-0.04650731866771918,0.9033871668126923,255.47985969543458,34538723.94,True,Alphabet Class A,mega-cap-tech,True,13
GOOG,303.2099914550781,0.8331018029298198,-0.04772436296175464,0.8808261658915745,256.1477159881592,21884525.46,True,Alphabet Class C,mega-cap-tech,True,14
PLTR,153.5,0.9666879436021103,0.10027959317623347,0.8664083504258768,162.6723252105713,51060209.26,False,Palantir,ai-software,True,15
SMH,388.1300048828125,0.8174667089371761,-0.0410860867713736,0.8585527957085497,333.2925611114502,8262940.4,True,VanEck Semiconductor ETF,etf,True,16
AVGO,335.9700012207031,0.7833971709289995,-0.013130070463656662,0.7965272413926562,322.23644470214845,26046360.6,True,Broadcom,semiconductor,True,17
APP,449.3299865722656,0.7432106205335367,-0.04988164210790691,0.7930922626414436,513.5059753417969,6468889.92,False,AppLovin,growth,True,18
SOXX,330.19000244140625,0.7307914016043908,-0.0604387521755162,0.791230153779907,282.85661392211915,7129241.86,True,iShares Semiconductor ETF,etf,True,19
TSLA,395.010009765625,0.713114782846813,-0.07102368781624369,0.7841384706630566,393.3079997253418,61140630.04,True,Tesla,growth,True,20
